cycle,Product ID,L1 Category,OLD,NEW,New-Old RL Qty,#Hub OOS karena WH,# New Hub OOS,Improvement in Hub OOS #,Verdict can we reduce oos potential?,Verdict can we mitigate oos?
2,40460,Perawatan Diri ,0,0,0,14,14,0,No,
2,40461,Perawatan Diri ,0,0,0,59,59,0,No,
2,40462,Perawatan Diri ,0,0,0,16,16,0,No,
2,40463,Perawatan Diri ,0,0,0,35,35,0,No,
2,40464,Perawatan Diri ,0,0,0,1,1,0,No,
2,40630,Sarapan,0,0,0,44,44,0,No,
2,40634,Perawatan Hewan,0,0,0,64,64,0,No,
2,40635,Perawatan Hewan,0,0,0,8,8,0,No,
2,40636,Perawatan Hewan,0,0,0,1,1,0,No,
2,40638,Perawatan Hewan,0,0,0,53,53,0,No,
2,40639,Perawatan Hewan,0,0,0,22,22,0,No,
2,40640,Perawatan Hewan,0,0,0,58,58,0,No,
2,40641,Perawatan Hewan,0,0,0,36,36,0,No,
2,40642,Perawatan Hewan,0,0,0,41,41,0,No,
2,40643,Perawatan Hewan,0,0,0,17,17,0,No,
2,40644,Perawatan Hewan,0,0,0,34,34,0,No,
2,40645,Perawatan Hewan,0,0,0,101,101,0,No,
2,40646,Perawatan Hewan,0,0,0,44,44,0,No,
2,40647,Perawatan Hewan,0,0,0,26,26,0,No,
2,40648,Perawatan Hewan,0,0,0,19,19,0,No,
2,40649,Perawatan Hewan,0,0,0,23,23,0,No,
2,40650,Perawatan Hewan,0,0,0,17,17,0,No,
2,40651,Perawatan Hewan,0,0,0,26,26,0,No,
2,40652,Perawatan Hewan,0,0,0,46,46,0,No,
2,40653,Perawatan Hewan,0,0,0,43,43,0,No,
2,40654,Perawatan Hewan,0,0,0,5,5,0,No,
2,40655,Perawatan Hewan,0,0,0,13,13,0,No,
2,40667,Bahan Masak & Bumbu,20,20,0,7,7,0,No,
2,40677,Snack,0,0,0,30,30,0,No,
2,40678,Snack,0,0,0,40,40,0,No,
2,40679,Snack,0,0,0,8,8,0,No,
2,40680,Snack,0,0,0,5,5,0,No,
2,40681,Snack,0,0,0,16,16,0,No,
2,40690,Biskuit,0,0,0,6,6,0,No,
2,40691,Biskuit,0,0,0,5,5,0,No,
2,40693,Biskuit,0,0,0,1,1,0,No,
2,40700,Perawatan Rumah,0,0,0,58,58,0,No,
2,40701,Snack,0,0,0,36,36,0,No,
2,40726,Minuman,13,13,0,60,60,0,No,
2,40730,Vitamin,0,0,0,2,2,0,No,
2,40731,Vitamin,0,0,0,7,7,0,No,
2,40732,Vitamin,0,0,0,7,7,0,No,
2,40774,Kebutuhan Pokok,0,0,0,86,86,0,No,
2,40778,Obat-obatan,0,0,0,120,120,0,No,
2,40804,Peralatan Dapur,100,100,0,19,19,0,No,
2,40812,Alat Tulis Kantor,0,0,0,56,56,0,No,
2,40816,Perawatan Diri ,100,100,0,40,40,0,No,
2,40831,Make Up,6,6,0,1,1,0,No,
2,40832,Make Up,6,6,0,11,11,0,No,
2,40839,Minuman,0,0,0,7,7,0,No,
2,40845,Peralatan Dapur,0,0,0,120,120,0,No,
2,40861,Bahan Masak & Bumbu,0,0,0,63,63,0,No,
2,40878,Bahan Masak & Bumbu,0,0,0,35,35,0,No,
2,40884,,0,0,0,63,63,0,No,
2,40886,,0,0,0,55,55,0,No,
2,40887,Snack,0,0,0,55,55,0,No,
2,40892,Snack,0,0,0,47,47,0,No,
2,40893,Snack,0,0,0,8,8,0,No,
2,40913,Peralatan Dapur,100,100,0,1,1,0,No,
2,40915,Produk 21+,0,0,0,9,9,0,No,
2,40916,Produk 21+,0,0,0,5,5,0,No,
2,40923,Produk 21+,0,0,0,1,1,0,No,
2,40924,Peralatan Dapur,7,7,0,49,49,0,No,
2,41046,Sarapan,0,0,0,2,2,0,No,
2,41048,Sarapan,0,0,0,134,134,0,No,
2,41120,Perlengkapan Pesta,0,0,0,1,1,0,No,
2,41121,Perlengkapan Pesta,0,0,0,8,8,0,No,
2,41277,Perawatan Diri ,0,0,0,71,71,0,No,
